band,records,mean_actual,mae,mape
<2L,184,126830.43478260869,36978.86815390069,31.08000084713174
2L-4L,226,298840.66371681413,53311.25193482958,18.243307284237375
4L-7L,175,538114.2342857143,89253.83411581688,16.75712810019464
7L-12L,98,881806.112244898,137007.37273415795,15.106775594494518
>12L,33,2244121.212121212,649240.6930413612,21.074615483609616
