feature,q1,q3,iqr,lower_bound,upper_bound,outlier_count
year,2010.0,2016.0,6.0,2001.0,2025.0,37
selling_price,200000.0,600000.0,400000.0,-400000.0,1200000.0,170
km_driven,36000.0,90000.0,54000.0,-45000.0,171000.0,106
