car_name,records
Maruti Swift Dzire VDI,69
Maruti Alto 800 LXI,59
Maruti Alto LXi,47
Maruti Alto LX,35
Hyundai EON Era Plus,35
Maruti Swift VDI BSIV,29
Maruti Wagon R VXI BS IV,29
Maruti Swift VDI,27
Hyundai EON Magna Plus,24
Maruti Wagon R LXI Minor,24
