Model,CV_R2_mean,CV_R2_std,R2,MAE,RMSE
XGBoost,0.7643113136291504,0.06599676438730015,0.665319907097357,114334.86145906076,328346.79990906053
Ridge Regression,0.7422178812677958,0.10313154059336364,0.6387524651246932,123256.4453676713,341130.29800006474
Linear Regression,0.7361150300790488,0.10674059626591731,0.639143681521503,119745.70785514943,340945.53283973946
Random Forest,0.6749361888819531,0.09424543711757685,0.6067818524530957,124297.19189412076,355905.4381698593
Decision Tree,0.5137215900325535,0.0870256062201171,0.35577164748980983,176939.61316393962,455551.7975565466
