,count,mean,std,min,25%,50%,75%,max
year,4340.0,2013.0907834101383,4.215343939724197,1992.0,2011.0,2014.0,2016.0,2020.0
selling_price,4340.0,504127.3117511521,578548.7361388865,20000.0,208749.75,350000.0,600000.0,8900000.0
km_driven,4340.0,66215.77741935484,46644.102193620885,1.0,35000.0,60000.0,90000.0,806599.0
