Model,CV_R2_mean,CV_R2_std,R2,MAE,RMSE
Ridge Regression,0.7879722666065898,0.09654150995015269,0.7239944868901704,96820.58805330943,298178.7748953391
Linear Regression,0.7833745228940848,0.1015968904807617,0.7099926946408158,101829.29650876051,305648.53362049325
XGBoost,0.733424186706543,0.0969287947798256,0.6431592518290539,112674.75737059183,339043.223247389
Random Forest,0.6755997180801259,0.10275731439688295,0.6233697190539691,123536.83119502683,348317.6363705553
Decision Tree,0.5281132634939422,0.09369189982089174,0.49775660335653804,158925.0784233353,402230.46892964613
