band,records,mean_actual,mae,mape
<2L,184,126830.43478260869,35994.36112697314,29.523328935321928
2L-4L,226,298840.66371681413,53999.06983487912,18.427370936682998
4L-7L,175,538114.2342857143,92854.64310824448,17.46349384901624
7L-12L,98,881806.112244898,137232.62116840677,15.177333736108572
>12L,33,2244121.212121212,683608.9857184092,23.585982449674933
