Model,R2_raw_target,R2_log_target,improvement
XGBoost,0.665319907097357,0.6431592518290539,-0.02216065526830313
Ridge Regression,0.6387524651246932,0.7239944868901704,0.08524202176547724
Linear Regression,0.639143681521503,0.7099926946408158,0.0708490131193128
Random Forest,0.6067818524530957,0.6233697190539689,0.01658786660087319
Decision Tree,0.35577164748980983,0.49775660335653804,0.1419849558667282
